symbol,test,regression,autolag,observations,adf_statistic,p_value,used_lag,critical_value_5pct,reject_unit_root,plausibly_i1
SPY,level,ct,AIC,1498,-2.5179814187724188,0.31903131978467691,9,-3.4134248813503536,False,True
SPY,first_difference,c,AIC,1498,-12.0322034100774,2.8568555689976901e-22,8,-2.863471337969528,True,True
QQQ,level,ct,AIC,1498,-2.0981351012970095,0.54714092453431551,9,-3.4134248813503536,False,True
QQQ,first_difference,c,AIC,1498,-12.32584629335326,6.5923509804981608e-23,8,-2.863471337969528,True,True
IWM,level,ct,AIC,1498,-2.4098331371352173,0.37440441693662313,9,-3.4134248813503536,False,True
IWM,first_difference,c,AIC,1498,-12.374813180657917,5.1840583331085675e-23,8,-2.863471337969528,True,True
