configuration_id,fast_window,slow_window,signal_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
f008_s032_m012_b0p00000,8,32,12,0,4,f008_s026_m012_b0p00000|f008_s032_m009_b0p00000|f008_s032_m012_b0p00025|f012_s032_m012_b0p00000,-0.510443359345,5871,-0.424544019708,-0.780833339466,0.226292477581,0,0.25,5914,0.202034104263,550.5
f008_s032_m012_b0p00025,8,32,12,0.00025,5,f008_s026_m012_b0p00025|f008_s032_m009_b0p00025|f008_s032_m012_b0p00000|f008_s032_m012_b0p00050|f012_s032_m012_b0p00025,-0.403130068585,5635,-0.510443359345,-0.686612126052,0.169331226047,0,0.2,5781,0.15438618219,526
f008_s032_m012_b0p00050,8,32,12,0.0005,5,f008_s026_m012_b0p00050|f008_s032_m009_b0p00050|f008_s032_m012_b0p00025|f008_s032_m012_b0p00100|f012_s032_m012_b0p00050,-0.4218604008,4889,-0.403130068585,-0.548730566296,0.229597669579,0.2,0.2,4830,0.15857197015,722.8
f008_s032_m012_b0p00100,8,32,12,0.001,4,f008_s026_m012_b0p00100|f008_s032_m009_b0p00100|f008_s032_m012_b0p00050|f012_s032_m012_b0p00100,-0.32519366617,3476,-0.358941551437,-0.4218604008,0.0990901117957,0,0.25,3218,0.0826120880164,792.75
f012_s020_m006_b0p00000,12,20,6,0,5,f008_s020_m006_b0p00000|f012_s020_m006_b0p00025|f012_s020_m009_b0p00000|f012_s026_m006_b0p00000|f016_s020_m006_b0p00000,-1.02438859065,7243,-0.844120212711,-1.41496847063,0.272232419615,0,0,6747,0.26405858637,1223
f012_s020_m006_b0p00025,12,20,6,0.00025,6,f008_s020_m006_b0p00025|f012_s020_m006_b0p00000|f012_s020_m006_b0p00050|f012_s020_m009_b0p00025|f012_s026_m006_b0p00025|f016_s020_m006_b0p00025,-0.635287707225,4016,-0.903457409649,-1.15967116035,0.236456098636,0,0,4585,0.273753546986,1961
f012_s020_m006_b0p00050,12,20,6,0.0005,6,f008_s020_m006_b0p00050|f012_s020_m006_b0p00025|f012_s020_m006_b0p00100|f012_s020_m009_b0p00050|f012_s026_m006_b0p00050|f016_s020_m006_b0p00050,-0.825026262673,1870,-0.667930159433,-0.752537389702,0.140461220354,0,0,2636,0.214147052628,1508.33333333
f012_s020_m006_b0p00100,12,20,6,0.001,5,f008_s020_m006_b0p00100|f012_s020_m006_b0p00050|f012_s020_m009_b0p00100|f012_s026_m006_b0p00100|f016_s020_m006_b0p00100,-0.73466576716,466,-0.825026262673,-0.952076851168,0.127769519951,0,0,1006,0.125206070339,820.4
f012_s020_m009_b0p00000,12,20,9,0,6,f008_s020_m009_b0p00000|f012_s020_m006_b0p00000|f012_s020_m009_b0p00025|f012_s020_m012_b0p00000|f012_s026_m009_b0p00000|f016_s020_m009_b0p00000,-0.727356276602,6261,-0.463520981944,-1.02438859065,0.259748618424,0,0,5837,0.273966201108,869.166666667
f012_s020_m009_b0p00025,12,20,9,0.00025,7,f008_s020_m009_b0p00025|f012_s020_m006_b0p00025|f012_s020_m009_b0p00000|f012_s020_m009_b0p00050|f012_s020_m012_b0p00025|f012_s026_m009_b0p00025|f016_s020_m009_b0p00025,-0.459900593963,4348,-0.513836698801,-0.999880670629,0.216413018951,0,0.142857142857,4322,0.17845671422,1283.42857143
f012_s020_m009_b0p00050,12,20,9,0.0005,7,f008_s020_m009_b0p00050|f012_s020_m006_b0p00050|f012_s020_m009_b0p00025|f012_s020_m009_b0p00100|f012_s020_m012_b0p00050|f012_s026_m009_b0p00050|f016_s020_m009_b0p00050,-0.455146086546,2474,-0.706867041699,-0.98782201984,0.275064226609,0,0.142857142857,2722,0.276920599612,1326.57142857
f012_s020_m009_b0p00100,12,20,9,0.001,6,f008_s020_m009_b0p00100|f012_s020_m006_b0p00100|f012_s020_m009_b0p00050|f012_s020_m012_b0p00100|f012_s026_m009_b0p00100|f016_s020_m009_b0p00100,-0.706867041699,858,-0.657061244352,-0.848571371317,0.118332958584,0,0,1373,0.0997173830964,901
f012_s020_m012_b0p00000,12,20,12,0,5,f008_s020_m012_b0p00000|f012_s020_m009_b0p00000|f012_s020_m012_b0p00025|f012_s026_m012_b0p00000|f016_s020_m012_b0p00000,-0.446020828179,5685,-0.357461848271,-0.846336022023,0.226519296079,0,0.2,5241,0.204402054779,770.2
f012_s020_m012_b0p00025,12,20,12,0.00025,6,f008_s020_m012_b0p00025|f012_s020_m009_b0p00025|f012_s020_m012_b0p00000|f012_s020_m012_b0p00050|f012_s026_m012_b0p00025|f016_s020_m012_b0p00025,-0.298854305199,4322,-0.335710052408,-0.715711597127,0.206010638261,0,0.5,4482.5,0.182852091982,1164.16666667
f012_s020_m012_b0p00050,12,20,12,0.0005,6,f008_s020_m012_b0p00050|f012_s020_m009_b0p00050|f012_s020_m012_b0p00025|f012_s020_m012_b0p00100|f012_s026_m012_b0p00050|f016_s020_m012_b0p00050,-0.194710125401,2722,-0.553782545494,-0.709946608848,0.228873000894,0,0.333333333333,2983,0.321974002045,1340.66666667
f012_s020_m012_b0p00100,12,20,12,0.001,5,f008_s020_m012_b0p00100|f012_s020_m009_b0p00100|f012_s020_m012_b0p00050|f012_s026_m012_b0p00100|f016_s020_m012_b0p00100,-0.652419004441,1176,-0.49611813629,-0.706867041699,0.184453472913,0,0.2,1892,0.19294030431,1043.2
f012_s026_m006_b0p00000,12,26,6,0,6,f008_s026_m006_b0p00000|f012_s020_m006_b0p00000|f012_s026_m006_b0p00025|f012_s026_m009_b0p00000|f012_s032_m006_b0p00000|f016_s026_m006_b0p00000,-0.96107711418,6997,-0.700448983522,-1.11768812935,0.252594215636,0,0,6486,0.288916094353,909.166666667
