strategy,fold_id,series,observations,sessions,annualization_factor,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,final_wealth
trend_ratio,wf_2022,gross,6514,251,6539.9521912350601,0.068615029030041574,0.068897604130697232,0.21218183327915038,0.42020407522866332,-0.16038815963494957,1.0686150290300416
trend_ratio,wf_2022,net,6514,251,6539.9521912350601,0.02026342052895802,0.020344967017948523,0.21219532548977005,0.20111286044352975,-0.1745372517183148,1.020263420528958
trend_ratio,wf_2023,gross,6476,250,6527.808,0.045267114136065656,0.045637392113186959,0.11166845327178042,0.45546851984725911,-0.094075750822133819,1.0452671141360657
trend_ratio,wf_2023,net,6476,250,6527.808,-0.0019272693613735514,-0.0019426725303827164,0.11168395491268004,0.03842866353261104,-0.10453994879598705,0.99807273063862645
trend_ratio,wf_2024,gross,6516,252,6516,0.071207821625620449,0.071207821625620449,0.10875199754100277,0.68669228405279215,-0.084328835289754434,1.0712078216256204
trend_ratio,wf_2024,net,6516,252,6516,0.024172699523974384,0.024172699523974384,0.10877007979570349,0.27378078275447865,-0.094708913378916626,1.0241726995239744
trend_ratio,wf_2025,gross,6464,250,6515.7120000000004,-0.1278656583286909,-0.12881968233707775,0.18338997381805636,-0.66024618208442687,-0.23310629271622807,0.8721343416713091
trend_ratio,wf_2025,net,6464,250,6515.7120000000004,-0.16682860059429405,-0.1680442490760985,0.18340643862497585,-0.91135366511158478,-0.25859805997751406,0.83317139940570595
ema_macd,wf_2022,gross,6514,251,6539.9521912350601,-0.11333333652398148,-0.11375815000969769,0.17230704747470635,-0.61457246105537611,-0.3135761857188013,0.88666666347601852
ema_macd,wf_2022,net,6514,251,6539.9521912350601,-0.18216457707959222,-0.18281954146790202,0.17234100043767503,-1.0851572063488497,-0.34003390988312199,0.81783542292040778
ema_macd,wf_2023,gross,6476,250,6527.808,0.074770441461387227,0.075390608920856916,0.077062439272584937,0.98171448701164732,-0.069732620050446115,1.0747704414613872
ema_macd,wf_2023,net,6476,250,6527.808,0.018270574588898247,0.018418077064982219,0.077085037177688109,0.27529743534318962,-0.080739835461343001,1.0182705745888982
ema_macd,wf_2024,gross,6516,252,6516,-0.013040700008434158,-0.013040700008434158,0.075366207390837728,-0.13625853463327955,-0.062141601430820703,0.98695929999156584
ema_macd,wf_2024,net,6516,252,6516,-0.053257741916643009,-0.053257741916643009,0.075387644180075278,-0.68803435289800829,-0.072189909287502685,0.94674225808335699
ema_macd,wf_2025,gross,6464,250,6515.7120000000004,-0.17650929513304292,-0.17778769683142603,0.14357412392043922,-1.2914484515431379,-0.23030440545863085,0.82349070486695708
ema_macd,wf_2025,net,6464,250,6515.7120000000004,-0.21856491906362185,-0.22010515930502572,0.14370026041852002,-1.6578799462496303,-0.24405540639356915,0.78143508093637815
