strategy,series,folds,observations,sessions,annualization_factor,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,final_wealth
trend_ratio,gross,4,25970,1003,6524.8654037886345,0.043531799288507589,0.010763347029449477,0.16039661315823545,0.14696221896704442,-0.23310629271622718,1.0435317992885076
trend_ratio,net,4,25970,1003,6524.8654037886345,-0.13107547628681049,-0.034684078461550083,0.16041154850463238,-0.13983374921122435,-0.29162115086525431,0.86892452371318951
ema_macd,gross,4,25970,1003,6524.8654037886345,-0.22547749863049316,-0.062178430150465092,0.12439774573836672,-0.45370231846429782,-0.36136545492117744,0.77452250136950684
ema_macd,net,4,25970,1003,6524.8654037886345,-0.38389635572334546,-0.11457598279594816,0.12445320658294706,-0.9154018072133836,-0.45993148926233707,0.61610364427665454
