configuration_id,short_window,long_window,neutral_band,symbol,calendar_year,observations,position_eligible_observations,gross_return,net_return,net_annualized_volatility,net_sharpe_ratio,net_max_drawdown,turnover,long_exposure_pct,short_exposure_pct,neutral_exposure_pct
s008_l064_d0p0010,8,64,0.001,SPY,2021,6540,6540,-0.0124091211706,-0.0431312581152,0.119531497062,-0.309754390684,-0.0972087831759,316,54.9541284404,29.5718654434,15.4740061162
s008_l064_d0p0010,8,64,0.001,SPY,2022,6514,6514,0.21192190433,0.177049046344,0.221418857352,0.851289030236,-0.0946001045395,292,44.3199263126,49.4933988333,6.18667485416
s008_l064_d0p0010,8,64,0.001,SPY,2023,6476,6476,-0.0380408293487,-0.0688958054373,0.120297650622,-0.540191408728,-0.145566195051,326,51.6676961087,35.4231006794,12.9092032119
s008_l064_d0p0010,8,64,0.001,SPY,2024,6516,6516,-0.0345665489622,-0.0634757453762,0.117071442584,-0.504890575011,-0.139840982329,304,52.4094536525,32.7501534684,14.8403928791
s008_l064_d0p0010,8,64,0.001,SPY,2025,6464,6464,-0.0523536522758,-0.0777821915408,0.186027752095,-0.348094293331,-0.170580616858,272,53.1714108911,34.6998762376,12.1287128713
s008_l064_d0p0020,8,64,0.002,SPY,2020,6554,6490,0.0566429167271,0.0278646521224,0.294945426533,0.240481974532,-0.249151548939,276,51.124807396,30.4160246533,18.4591679507
s008_l064_d0p0020,8,64,0.002,SPY,2021,6540,6540,-0.00698585375953,-0.0338230668747,0.112340391801,-0.250684514082,-0.0827015264319,274,44.1437308869,24.3883792049,31.4678899083
s008_l064_d0p0020,8,64,0.002,SPY,2022,6514,6514,0.173211760117,0.139786056366,0.216089455577,0.717158415719,-0.0954717229626,289,41.5566472214,45.8704329137,12.5729198649
s008_l064_d0p0020,8,64,0.002,SPY,2023,6476,6476,-0.00158557192807,-0.030223160914,0.113177679096,-0.217738123952,-0.125579484635,291,44.1785052502,29.5089561458,26.3125386041
s008_l064_d0p0020,8,64,0.002,SPY,2024,6516,6516,-0.0489884668732,-0.0762662757267,0.108311001475,-0.682491782808,-0.125794842291,291,44.152854512,26.2737875998,29.5733578883
s008_l064_d0p0020,8,64,0.002,SPY,2025,6464,6464,-0.0539823590081,-0.0804714345133,0.178280032173,-0.387743498146,-0.175747140158,284,46.333539604,28.7747524752,24.8917079208
s008_l096_d0p0000,8,96,0,SPY,2020,6554,6458,0.423076263826,0.391691526824,0.329184232482,1.16667808282,-0.146678674483,223,62.9606689378,37.0393310622,0
s008_l096_d0p0000,8,96,0,SPY,2021,6540,6540,-0.070210978903,-0.0902624126807,0.126863959362,-0.683613870626,-0.141526286264,218,66.9266055046,33.0733944954,0
s008_l096_d0p0000,8,96,0,SPY,2022,6514,6514,0.048463875029,0.0227832380615,0.226931153868,0.213340038451,-0.122719597258,248,46.8989867977,53.1010132023,0
s008_l096_d0p0000,8,96,0,SPY,2023,6476,6476,-0.00938315539581,-0.0352009697827,0.128745112813,-0.217244135716,-0.146842995939,264,59.6819024089,40.3180975911,0
s008_l096_d0p0000,8,96,0,SPY,2024,6516,6516,-0.0573117184178,-0.0789295740226,0.123681825496,-0.606712244621,-0.183451054296,232,61.5561694291,38.4438305709,0
s008_l096_d0p0000,8,96,0,SPY,2025,6464,6464,0.0424810972566,0.0206081038396,0.193995886652,0.203664742508,-0.14186762398,212,60.3496287129,39.6503712871,0
