configuration_id,short_window,long_window,neutral_band,symbol,regime,observations,position_eligible_observations,net_return,net_annualized_volatility,net_sharpe_ratio,invested_exposure_pct,long_exposure_pct,short_exposure_pct,neutral_exposure_pct,turnover
s008_l032_d0p0020,8,32,0.002,SPY,normal_volatility,31224,31198,0.0878943388454,0.0901192287999,0.241226297921,52.5001602667,32.3963074556,20.1038528111,47.4998397333,1805
s008_l064_d0p0000,8,64,0,SPY,high_volatility,7840,7814,-0.121122568484,0.384245931124,-0.0876983993342,100,41.8095725621,58.1904274379,0,352
s008_l064_d0p0000,8,64,0,SPY,normal_volatility,31224,31186,0.227205286914,0.119237744236,0.419935967465,100,62.9641505804,37.0358494196,0,1401
s008_l064_d0p0005,8,64,0.0005,SPY,high_volatility,7840,7814,-0.155454114812,0.379618425965,-0.181129030418,97.5172766829,40.5426158178,56.9746608651,2.48272331712,353
s008_l064_d0p0005,8,64,0.0005,SPY,normal_volatility,31224,31186,0.182749822999,0.115253375558,0.363220895242,93.5483870968,59.5748092093,33.9735778875,6.45161290323,1350
s008_l064_d0p0010,8,64,0.001,SPY,high_volatility,7840,7814,-0.0609126578585,0.36216630828,0.0359660784733,95.4568722805,39.6083951881,55.8484770924,4.54312771948,353
s008_l064_d0p0010,8,64,0.001,SPY,normal_volatility,31224,31186,0.0901523243485,0.111503538787,0.218201008907,86.3111652665,55.4062720451,30.9048932213,13.6888347335,1432
s008_l064_d0p0020,8,64,0.002,SPY,high_volatility,7840,7814,-0.200481211061,0.354366011446,-0.350537444261,90.8497568467,37.6759662145,53.1737906322,9.15024315331,361
s008_l064_d0p0020,8,64,0.002,SPY,normal_volatility,31224,31186,0.166194781727,0.103910751009,0.362441038405,72.4235233759,47.139742192,25.2837811839,27.5764766241,1344
s008_l096_d0p0000,8,96,0,SPY,high_volatility,7840,7814,-0.040940362501,0.384216560812,0.0999840784509,100,39.9411313028,60.0588686972,0,304
s008_l096_d0p0000,8,96,0,SPY,normal_volatility,31224,31154,0.224576211341,0.119235674841,0.416164457555,100,64.6915323875,35.3084676125,0,1093
s008_l096_d0p0005,8,96,0.0005,SPY,high_volatility,7840,7814,0.0623258757277,0.381345240544,0.321947484204,97.6580496545,38.9301254159,58.7279242385,2.34195034553,306
s008_l096_d0p0005,8,96,0.0005,SPY,normal_volatility,31224,31154,0.162586315431,0.116263163647,0.330035983235,95.0503948129,61.9792001027,33.0711947101,4.94960518713,1111
s008_l096_d0p0010,8,96,0.001,SPY,high_volatility,7840,7814,-0.0115277029632,0.374441688209,0.160207158758,95.0473509086,37.5607883286,57.48656258,4.95264909137,321
s008_l096_d0p0010,8,96,0.001,SPY,normal_volatility,31224,31154,0.212816170929,0.113000100734,0.414802445757,89.6353598254,59.1545226937,30.4808371317,10.3646401746,1106
s008_l096_d0p0020,8,96,0.002,SPY,high_volatility,7840,7814,-0.019215542185,0.36809292734,0.138850198194,90.8241617609,35.5643716406,55.2597901203,9.17583823906,292
s008_l096_d0p0020,8,96,0.002,SPY,normal_volatility,31224,31154,0.157232845079,0.106757507542,0.340422334974,79.4472619888,53.3928227515,26.0544392373,20.5527380112,1073
s016_l032_d0p0000,16,32,0,SPY,high_volatility,7840,7834,-0.294028927405,0.384264383362,-0.564197281767,100,44.0770998213,55.9229001787,0,477
s016_l032_d0p0000,16,32,0,SPY,normal_volatility,31224,31198,-0.0657675242046,0.11929864331,-0.0600066681793,99.9935893326,59.1576383101,40.8359510225,0.00641066735047,2056
s016_l032_d0p0005,16,32,0.0005,SPY,high_volatility,7840,7834,-0.218345491965,0.372410937524,-0.365658865608,93.6430942047,40.9880010212,52.6550931836,6.35690579525,465
s016_l032_d0p0005,16,32,0.0005,SPY,normal_volatility,31224,31198,0.184486918933,0.107803222983,0.383465782875,80.1750112187,48.8172318738,31.3577793448,19.8249887813,1948
s016_l032_d0p0010,16,32,0.001,SPY,high_volatility,7840,7834,-0.339019149653,0.363035921021,-0.770581680001,87.030890988,37.9244319632,49.1064590248,12.969109012,478
s016_l032_d0p0010,16,32,0.001,SPY,normal_volatility,31224,31198,0.38620110748,0.0963896435391,0.759127041026,61.834091929,38.0601320597,23.7739598692,38.165908071,1755
s016_l032_d0p0020,16,32,0.002,SPY,high_volatility,7840,7834,-0.340536712785,0.34554055197,-0.833095564327,73.6150114884,31.7079397498,41.9070717386,26.3849885116,491
s016_l032_d0p0020,16,32,0.002,SPY,normal_volatility,31224,31198,0.223293390039,0.0755861301254,0.59732313722,35.7330598115,22.305917046,13.4271427656,64.2669401885,1279
s016_l064_d0p0000,16,64,0,SPY,high_volatility,7840,7814,-0.425266897319,0.384217885737,-1.01348316303,100,41.617609419,58.382390581,0,304
s016_l064_d0p0000,16,64,0,SPY,normal_volatility,31224,31186,0.253268458298,0.119244805579,0.456894401876,99.9935868659,62.5633296992,37.4302571667,0.00641313409863,1125
s016_l064_d0p0005,16,64,0.0005,SPY,high_volatility,7840,7814,-0.329232854612,0.379002235601,-0.692109389799,97.3637061684,40.3890453033,56.9746608651,2.63629383158,302
s016_l064_d0p0005,16,64,0.0005,SPY,normal_volatility,31224,31186,0.17887899976,0.115153125024,0.35746075869,92.2208683384,58.5903931251,33.6304752132,7.77913166164,1113
s016_l064_d0p0010,16,64,0.001,SPY,high_volatility,7840,7814,-0.298007408239,0.373710138988,-0.605485024386,94.4586639365,38.9941131303,55.4645508062,5.54133606348,307
s016_l064_d0p0010,16,64,0.001,SPY,normal_volatility,31224,31186,0.239713840733,0.110310388049,0.463921510614,83.7651510293,53.7548900148,30.0102610146,16.2348489707,1104
