strategy,symbol,frequency,configuration_id,folds,test_start_timestamp,test_end_timestamp,test_sessions,test_observations,annualization_factor,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,turnover,average_exposure,long_exposure,short_exposure,flat_exposure,trade_count
trend_ratio,SPY,15min,trend_ratio_day06_baseline_v1,4,2022-01-03T14:30:00+0000,2025-12-31T20:45:00+0000,1003,25970,6524.86540379,-0.131075476287,-0.0346840784616,0.160411548505,-0.139833749211,-0.291621150865,1831,77.3395979358,42.9253639375,34.4142339983,22.6604020642,1818
ema_macd,SPY,15min,ema_macd_day08_baseline_v1,4,2022-01-03T14:30:00+0000,2025-12-31T20:45:00+0000,1003,25970,6524.86540379,-0.383896355723,-0.114575982796,0.124453206583,-0.915401807213,-0.459931489262,2288,33.5708233844,16.9837479781,16.5870754063,66.4291766156,2281
