strategy,symbol,frequency,fold_id,configuration_id,train_start_timestamp,train_end_timestamp,test_start_timestamp,test_end_timestamp,train_sessions,test_sessions,train_observations,test_observations,annualization_factor,purge_sessions,embargo_sessions,indicator_history_observations,initial_test_position,initial_test_turnover,warmup_observations,active_observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,turnover,average_exposure,long_exposure,short_exposure,flat_exposure,trade_count
trend_ratio,SPY,15min,wf_2022,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2021-12-31T20:45:00+0000,2022-01-03T14:30:00+0000,2022-12-30T20:45:00+0000,505,251,13094,6514,6539.95219124,0,0,13094,0,0,1,6513,0.020263420529,0.0203449670179,0.21219532549,0.201112860444,-0.174537251718,463,86.5039152464,41.4094887149,45.0944265316,13.4960847536,456
trend_ratio,SPY,15min,wf_2023,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2022-12-30T20:45:00+0000,2023-01-03T14:30:00+0000,2023-12-29T20:45:00+0000,756,250,19608,6476,6527.808,0,0,19608,0,0,1,6475,-0.00192726936137,-0.00194267253038,0.111683954913,0.0384286635326,-0.104539948796,462,76.4633204633,44.0154440154,32.4478764479,23.5366795367,462
trend_ratio,SPY,15min,wf_2024,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2023-12-29T20:45:00+0000,2024-01-02T14:30:00+0000,2024-12-31T20:45:00+0000,1006,252,26084,6516,6516,0,0,26084,0,0,1,6515,0.024172699524,0.024172699524,0.108770079796,0.273780782754,-0.0947089133789,449,71.4044512663,41.9953952417,29.4090560246,28.5955487337,448
trend_ratio,SPY,15min,wf_2025,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2024-12-31T20:45:00+0000,2025-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1258,250,32600,6464,6515.712,0,0,32600,0,0,1,6463,-0.166828600594,-0.168044249076,0.183406438625,-0.911353665112,-0.258598059978,457,74.9651864459,44.2983134767,30.6668729692,25.0348135541,452
ema_macd,SPY,15min,wf_2022,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2021-12-31T20:45:00+0000,2022-01-03T14:30:00+0000,2022-12-30T20:45:00+0000,505,251,13094,6514,6539.95219124,0,0,13094,0,0,1,6513,-0.18216457708,-0.182819541468,0.172341000438,-1.08515720635,-0.340033909883,808,51.5123598956,25.2725318594,26.2398280362,48.4876401044,805
ema_macd,SPY,15min,wf_2023,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2022-12-30T20:45:00+0000,2023-01-03T14:30:00+0000,2023-12-29T20:45:00+0000,756,250,19608,6476,6527.808,0,0,19608,0,0,1,6475,0.0182705745889,0.018418077065,0.0770850371777,0.275297435343,-0.0807398354613,540,29.4362934363,15.1042471042,14.332046332,70.5637065637,540
ema_macd,SPY,15min,wf_2024,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2023-12-29T20:45:00+0000,2024-01-02T14:30:00+0000,2024-12-31T20:45:00+0000,1006,252,26084,6516,6516,0,0,26084,0,0,1,6515,-0.0532577419166,-0.0532577419166,0.0753876441801,-0.688034352898,-0.0721899092875,416,22.9470452801,12.0644666155,10.8825786646,77.0529547199,415
ema_macd,SPY,15min,wf_2025,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2024-12-31T20:45:00+0000,2025-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1258,250,32600,6464,6515.712,0,0,32600,0,0,1,6463,-0.218564919064,-0.220105159305,0.143700260419,-1.65787994625,-0.244055406394,524,30.3419464645,15.4726907009,14.8692557636,69.6580535355,521
