sampling_method,bars,complete_bars,partial_bars,return_observations,median_duration_seconds,p95_duration_seconds,mean_trade_count,trade_count_cv,mean_volume,volume_cv,mean_dollar_value,dollar_value_cv,lag_one_return_autocorrelation,return_skewness,return_excess_kurtosis,jarque_bera_pvalue
time_6s,10,10,0,9,4.1676555,4.827607799999999,11.2,0.9958459638284777,805.2,0.7699929846650373,551781.2205,0.7698987347603904,-0.5761948084855009,-0.03881506898089143,-0.6363735166430988,0.8484285476243028
tick,10,9,1,8,6.1709735000000006,11.682967949999995,11.2,0.22587697572631282,805.2,0.8902422413123481,551781.2205,0.8901228842412875,-0.27443166744400443,-0.35901304065038886,0.026750932596105503,0.8811661663418805
volume,8,8,0,7,4.588502999999999,15.10237475,14.0,0.8748177652797064,1006.5,0.17568082687817843,689726.525625,0.17556131272522196,-0.5408124958239432,,,
dollar,8,8,0,7,4.588502999999999,15.10237475,14.0,0.8748177652797064,1006.5,0.17568082687817843,689726.525625,0.17556131272522196,-0.5408124958239432,,,
