symbol,horizon_bars,signal_bucket,observations,signal_minimum,signal_maximum,signal_mean,mean_forward_return,median_forward_return
SPY,1,1,7806,-0.00786516722889,-0.000424760739079,-0.00097748288426,3.80250070876e-05,7.17764826272e-05
SPY,1,2,7806,-0.000424735831138,-0.00012622662023,-0.000258061334595,6.53406633466e-06,6.68304109156e-05
SPY,1,3,7806,-0.000126177972528,9.31800185817e-05,-1.65962399682e-05,1.66342752384e-05,5.08446619966e-05
SPY,1,4,7806,9.31981446685e-05,0.000425898991273,0.000238725267231,1.41313326564e-05,4.88385482091e-05
SPY,1,5,7806,0.000425977234403,0.00951686598649,0.00101292513835,4.74676455667e-05,0.00010850552067
SPY,4,1,7806,-0.00786516722889,-0.000424760739079,-0.00097748288426,-3.13787968555e-05,0.000102800051942
SPY,4,2,7805,-0.000424735831138,-0.000126162097327,-0.000258046600062,0.000154292395161,0.00021699034393
SPY,4,3,7805,-0.000126091398635,9.31981446685e-05,-1.65540949362e-05,9.57410697804e-05,0.000175680028109
SPY,4,4,7805,9.32103066665e-05,0.000425898991273,0.000238743912602,7.56488539103e-05,0.000171386132958
SPY,4,5,7806,0.000425977234403,0.00951686598649,0.00101292513835,0.000191232055178,0.00034676628778
SPY,8,1,7805,-0.00786516722889,-0.000424760795028,-0.000977553700679,-6.37129224236e-05,0.000222875991798
SPY,8,2,7804,-0.000424760739079,-0.00012622662023,-0.000258101759887,0.000344271031671,0.000382823775129
SPY,8,3,7805,-0.000126177972528,9.31800185817e-05,-1.65990755581e-05,0.000161979949338,0.000342083736149
SPY,8,4,7804,9.31981446685e-05,0.000425977234403,0.000238771958652,0.000151555255674,0.000384137136337
SPY,8,5,7805,0.000426027634861,0.00951686598649,0.00101300033987,0.000374017288367,0.000713654591178
SPY,16,1,7803,-0.00786516722889,-0.000424959014834,-0.000977695379023,0.000134179069271,0.000407639157817
SPY,16,2,7803,-0.000424830486925,-0.000126261896547,-0.00025819258787,0.000596466538038,0.000689893066575
SPY,16,3,7803,-0.000126253602999,9.31981446685e-05,-1.66174129177e-05,0.000217058443109,0.000608961889135
SPY,16,4,7803,9.32103066665e-05,0.000426154516417,0.000238851383406,0.000225024063249,0.000679831660732
SPY,16,5,7803,0.000426194877007,0.00951686598649,0.00101315077157,0.000764806798504,0.00135066182429
