year,observations,long_exposure_pct,short_exposure_pct,flat_exposure_pct,total_turnover,position_changes
2020,6554,49.233363998773385,33.04201165286722,17.7246243483594,459.0,446
2021,6540,44.74006116207951,26.65137614678899,28.6085626911315,453.0,453
2022,6514,41.40313171630335,45.087503837887624,13.509364445809027,463.0,456
2023,6476,44.00864731315627,32.45830759728227,23.53304508956146,463.0,463
2024,6516,41.988950276243095,29.404542664211174,28.606507059545734,449.0,448
2025,6464,44.291460396039604,30.67759900990099,25.030940594059405,456.0,451
