symbol,bar_number,local_time,observations,sessions,mean_return,standard_deviation,mean_absolute_return,median_absolute_return,mean_squared_return,mean_high_low_log_range,mean_volume,median_volume,mean_trade_count,mean_volume_share,mean_trade_count_share,mean_absolute_return_share,mean_squared_return_share,opening_bar_rate,closing_bar_rate,average_session_length
IWM,1,09:30:00,1508,1508,-0.0002102934754742723,0.00486022360955449,0.003642296481087414,0.0029613291393548735,2.365033257464034e-05,0.0071072565098363495,2403529.327586207,2157893.5,19929.785145888593,0.08762703863716197,0.0924691110922059,0.08483836664617442,0.14294684069872485,1.0,0.0,25.90450928381963
IWM,2,09:45:00,1508,1508,0.00015406330467316795,0.003975826943862479,0.002864329815888882,0.0022309578621317883,1.582045316134753e-05,0.005564486656178818,1643909.127984085,1484596.0,13754.982095490715,0.05953480524843976,0.06335450110952369,0.06552224793831725,0.09264609145281125,0.0,0.0,25.90450928381963
IWM,3,10:00:00,1508,1508,-1.0018990464357095e-05,0.003911247873185126,0.0027054923851319067,0.002104876839958525,1.5287815836218455e-05,0.00524618347649283,1498900.303050398,1337774.0,12396.576259946949,0.053937749846801386,0.05702583327794639,0.06283010384033245,0.08562979060921168,0.0,0.0,25.90450928381963
IWM,4,10:15:00,1508,1508,-9.407632644576046e-05,0.003266852673340109,0.002320453167909125,0.0017434998274810098,1.0674099604991503e-05,0.004547807636717174,1277992.0457559682,1123289.0,10318.468832891247,0.045712203751911956,0.047080961063168114,0.053266806567114966,0.06323810929682153,0.0,0.0,25.90450928381963
IWM,5,10:30:00,1508,1508,-8.318292185347915e-06,0.0028613789725640045,0.002098366468383692,0.0016136267463657816,8.182129448838712e-06,0.0041997095501535514,1204630.1127320954,1046087.0,9521.649867374006,0.04295773724640644,0.043576021669329605,0.04837808101115603,0.05337359184567834,0.0,0.0,25.90450928381963
IWM,6,10:45:00,1508,1508,-0.00010220120522227283,0.0028210112821779433,0.0019433275143435416,0.0014168023691230047,7.963272482795902e-06,0.0038234990746185637,1080823.5974801062,909367.5,8456.85278514589,0.0381005043053526,0.03845438888604542,0.04327414846222992,0.0427877769270688,0.0,0.0,25.90450928381963
IWM,7,11:00:00,1508,1508,6.321097258666221e-05,0.0027431407686359993,0.0018581375410559263,0.0013912822029991112,7.523826969074739e-06,0.003660380598954162,1032539.3925729443,882427.5,7970.320291777189,0.03629236745940817,0.03602561776345441,0.04112564871464913,0.03942775794590374,0.0,0.0,25.90450928381963
IWM,8,11:15:00,1508,1508,-4.625943007068907e-06,0.002404607586957195,0.0016412461712953048,0.0011846100648984503,5.7783247378161565e-06,0.0033069985914151476,956203.0364721485,791094.5,7346.160477453581,0.033427388436239804,0.03330633901250934,0.0373578230690417,0.03382314159223805,0.0,0.0,25.90450928381963
IWM,9,11:30:00,1508,1508,2.9091693484873516e-05,0.0023584935442933193,0.0016428992368727607,0.0011863888595571304,5.559649470064303e-06,0.0032594984161772793,914285.1306366047,765527.5,7135.760610079576,0.03221063448909368,0.03241090473716102,0.03667145138423117,0.03154751644012331,0.0,0.0,25.90450928381963
IWM,10,11:45:00,1508,1508,7.99509722373032e-05,0.0021263657435501653,0.0014399420236204078,0.0010008320458587683,4.524825136703658e-06,0.002928900539179502,814544.5875331565,681643.5,6281.92374005305,0.02866384896789753,0.028502572395097944,0.03243776459500278,0.026223458679415248,0.0,0.0,25.90450928381963
