strategy,long_bars,neutral_bars,short_bars,entries,exits,direct_reversals,position_changes,total_turnover,total_fractional_transaction_cost,total_transaction_cost_amount,final_equity
trend_ratio,17283,8945,12836,1346,1345,26,2717,2743,0.2743,0.314493743774,0.958765678046
ema_macd,6748,25733,6583,1644,1644,15,3303,3318,0.3318,0.310485069192,0.687176824503
