strategy,symbol,frequency,configuration_id,observations,sessions,start_timestamp,end_timestamp,events,initial_executed_position,initial_position_eligible,initial_turnover,initial_transaction_cost,initial_previous_equity,final_equity,event_sha256,observation_sha256,deterministic_replay,input_mutated,locked_2026_accessed
trend_ratio,SPY,15min,trend_ratio_day06_baseline_v1,39064,1508,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,122626,0,False,0,0,1,0.958765678046,4f147e9ff5391f604532ac1106e36cb36f48b6c7a23135c5900970ad184ee92c,5824f532c867bc55aea8f4a1dc977c705a620b0eb7bcca634d2af8d032921205,True,False,False
ema_macd,SPY,15min,ema_macd_day08_baseline_v1,39064,1508,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,123798,0,False,0,0,1,0.687176824503,4bcd8f02f5ce742b342fb6185189fbb69777ee58306daa3844f57260518a7efe,25e47dc097a0a0db29fac75e5e40db3f20bf83234ef227dc113fa676d7bd8378,True,False,False
